"sighting_uuid","app_id","beacon_mac","beacon_mac_normalized","tracking_request_uuid","registered_device_uuid","owner_user_uuid","observer_user_uuid","scanner_kind","scanner_id","school_id","source","frame_type","rssi","latitude","longitude","location_accuracy_meters","location_captured_at","observed_at","raw_payload","created_at","client_event_id"
"na-est-1.bsg_b6ec2f91-ec3a-4e57-836f-a60cc1dc72ee","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-44","42.7666959","-83.5167726","3.79","1782820483","1782820474","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921832, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 9, ""matched_at_ms"": 1782820483822, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_b64a8b25-1e19-443a-9346-8977450b419c"
"na-est-1.bsg_865804b9-9f06-41dd-9ee4-7681245d750b","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-48","42.8959233","-83.6336433","3.79","1782819845","1782819838","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921773, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""motion_hold"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 7, ""matched_at_ms"": 1782819845824, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_85fa2cee-da4d-441b-86cf-bbb45214e982"
"na-est-1.bsg_589814e9-a9a7-4fad-8ae8-39f319f729fc","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-37","42.8625591","-83.5915558","3.79","1782820030","1782820029","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921805, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 1, ""matched_at_ms"": 1782820030822, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_5dbcc9a7-e6c5-44cf-abb0-47ef260828a5"
"na-est-1.bsg_177e1dbb-c81d-4f2b-990d-69f71aacb359","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-37","42.907496","-83.6537908","9.94","1782819777","1782819778","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921763, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_sample_initial"", ""is_moving"": false, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 0, ""matched_at_ms"": 1782819777824, ""accuracy_meters"": 9.94}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 30000}","1782847643","native_37f60fa9-54b3-4680-aa8c-68c5647ad8f5"
"na-est-1.bsg_675b428d-cff6-4d43-b321-38ef0167b38b","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-41","42.8852158","-83.6183854","3.79","1782819906","1782819898","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921780, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 8, ""matched_at_ms"": 1782819906823, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_eae0919f-5708-4e95-b714-c382325a8571"
"na-est-1.bsg_0319b7be-3d61-462d-a623-e2f6b6a4dba8","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-42","42.8625591","-83.5915558","3.79","1782820030","1782820026","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921804, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 4, ""matched_at_ms"": 1782820030822, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_ef76826f-d8fb-46d6-80b2-b094093da15a"
"na-est-1.bsg_515b04b7-c436-4f98-9bc3-f2ac7c75ea2a","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-45","42.8905418","-83.6255635","3.79","1782819876","1782819873","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921778, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 3, ""matched_at_ms"": 1782819876823, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_972f33ac-cddc-404e-bbee-55b15dad5b80"
"na-est-1.bsg_4b928e89-7126-402c-aac4-dd9fc6a4e4f3","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-36","42.8799723","-83.6109251","3.79","1782819937","1782819930","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921785, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 7, ""matched_at_ms"": 1782819937823, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_1ae1f988-cbe5-4352-8bd1-6971d240f8ab"
"na-est-1.bsg_edddfc0a-4624-46ec-975b-db890fafa81d","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-37","43.0019599","-83.6760628","9.94","1782819402","1782819402","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921757, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 0, ""matched_at_ms"": 1782819402824, ""accuracy_meters"": 9.94}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_1bc9bc7e-7859-4f97-a180-0630b186f9ff"
"na-est-1.bsg_7b16c4a6-21c9-4cfd-91ca-b49d6c182b86","juise-customer-app","E0:4F:B7:4A:27:AD","E04FB74A27AD",NULL,"na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","na-est-1.usr_e4e36960-2305-4ebe-9841-d025697b50e6","user_phone","phone_android_mq5h3sup_73zwkqkv","ou","registered_beacon_background","moko-acc","-37","42.8995603","-83.6446795","3.79","1782819814","1782819806","{""source"": ""android_native_outbox"", ""platform"": ""android"", ""device_id"": ""E0:4F:B7:4A:27:AD"", ""scanner_id"": ""phone_android_mq5h3sup_73zwkqkv"", ""device_name"": null, ""environment"": {""source"": ""advertisement"", ""battery"": ""2655 mV"", ""updated_at_ms"": 1782826921766, ""sampling_rate_hz"": 10, ""device_temperature_c"": null, ""sampling_humidity_pct"": null, ""sampling_temperature_c"": null}, ""frame_count"": 1, ""frame_types"": [""moko-acc""], ""motion_state"": {""source"": ""acc_vector_change"", ""is_moving"": true, ""rssi_delta_dbm"": null, ""motion_trigger_count"": null, ""motion_trigger_changed"": false, ""acceleration_magnitude_g"": null, ""acceleration_vector_delta_g"": null}, ""location_mode"": ""background_anchor"", ""location_anchor"": {""source"": ""current_position"", ""age_seconds"": 8, ""matched_at_ms"": 1782819814822, ""accuracy_meters"": 3.79}, ""tracking_source"": ""registered_device"", ""tracking_target_key"": ""registered:na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520:E04FB74A27AD"", ""tracking_request_uuid"": null, ""registered_device_uuid"": ""na-est-1.rdv_5d415c7d-3e9e-4af8-be4c-f982359cd520"", ""upload_interval_target_ms"": 3000}","1782847643","native_a22a344c-b707-4785-be20-7fb51d1eedd5"
